problem_key,parameterId,parameterId,lowerBound,upperBound,ensemble_mean,ensemble_std,ensemble_median,within lb: 1 std,within ub: 1 std,within lb: 2 std,within ub: 2 std,within lb: 3 std,within ub: 3 std,within lb: perc 5,within lb: perc 20,within ub: perc 80,within ub: perc 95,percentile_5,percentile_25,percentile_75,percentile_95,true_value,A0,B0
prob_000 | p_000,rA,rA,0.001,100.0,0.09141836996845422,0.1516399363985175,0.09141836996845422,False,True,False,True,False,True,True,True,True,True,0.0013168951627759026,0.004748142259489178,0.10168411061102821,0.4147466770931765,0.1,[0.1],[0.9]
prob_000 | p_000,rB,rB,0.001,100.0,0.09981166399680685,0.0025048663774358475,0.09981166399680685,True,True,True,True,True,True,True,True,True,True,0.09637867133487936,0.09818108234983727,0.10100131917240442,0.10453751260332951,0.1,[0.1],[0.9]
prob_001 | p_000,rA,rA,0.001,100.0,0.06150790565036494,0.05027976655956829,0.06150790565036494,True,True,False,True,False,True,True,True,True,True,0.00215311764051464,0.015438793663718304,0.09611452608541095,0.15586892645306796,0.1,[0.3],[0.7]
prob_001 | p_000,rB,rB,0.001,100.0,0.09523023941943852,0.006493678569148632,0.09523023941943852,True,True,True,True,True,True,True,True,True,True,0.08658350013234184,0.09000917137284097,0.09969792849053453,0.10739415559961576,0.1,[0.3],[0.7]
prob_002 | p_000,rA,rA,0.001,100.0,0.1263638096822732,1.7270862562605,0.1263638096822732,False,True,False,True,False,True,True,True,True,True,0.0011488937223109801,0.0020674980525374385,0.007921782897865019,0.04521816042205118,0.1,[0.5],[0.5]
prob_002 | p_000,rB,rB,0.001,100.0,0.1268148289987524,1.7369890090858426,0.1268148289987524,False,True,False,True,False,True,True,True,True,True,0.001161385298989375,0.00206388565476625,0.007964563116877458,0.04922722318385252,0.1,[0.5],[0.5]
prob_003 | p_000,rA,rA,0.001,100.0,0.09552003375544871,0.006486163481631735,0.09552003375544871,True,True,True,True,True,True,True,True,True,True,0.08666575122518126,0.09015305800372041,0.10048649821762591,0.10669686291751815,0.1,[0.7],[0.3]
prob_003 | p_000,rB,rB,0.001,100.0,0.06453724937141421,0.05017094564758841,0.06453724937141421,True,True,False,True,False,True,True,True,True,True,0.0023578867878016,0.01864255953276123,0.10276040455749057,0.15287346407656294,0.1,[0.7],[0.3]
prob_004 | p_000,rA,rA,0.001,100.0,0.09980630139159104,0.0024574161582129684,0.09980630139159104,True,True,True,True,True,True,True,True,True,True,0.0964179489775402,0.09815695392328132,0.10104070581898056,0.10445383865260638,0.1,[0.9],[0.1]
prob_004 | p_000,rB,rB,0.001,100.0,0.08664222094973613,0.14470258452921272,0.08664222094973613,False,True,False,True,False,True,True,True,True,True,0.001267380759460556,0.004187025655339103,0.10358280367447308,0.4058650080996171,0.1,[0.9],[0.1]
prob_000 | p_001,rA,rA,0.001,100.0,0.13060542727324356,0.25084769091228,0.13060542727324356,False,True,False,True,False,True,True,True,True,True,0.001354210688119815,0.005346167936427745,0.13396547968783748,0.5795142050544344,0.1,[0.1],[0.9]
prob_000 | p_001,rB,rB,0.001,100.0,0.501640540380369,0.014021414258149546,0.501640540380369,True,True,True,True,True,True,True,True,True,True,0.48914660676051225,0.49385466362302666,0.5036898469254909,0.5260930353211145,0.5,[0.1],[0.9]
prob_001 | p_001,rA,rA,0.001,100.0,0.05585106798328127,0.10908950833601894,0.05585106798328127,False,True,False,True,False,True,True,True,True,True,0.0014429770043675482,0.004361933844386927,0.0553215310906091,0.2574786593910434,0.1,[0.3],[0.7]
prob_001 | p_001,rB,rB,0.001,100.0,0.4845552023588393,0.0384817047818862,0.4845552023588393,True,True,True,True,True,True,True,True,True,True,0.4610834749218751,0.46678669585480637,0.4849182876532136,0.5483207481329962,0.5,[0.3],[0.7]
