fA0,fA,X,dX,dfA
0.4,0.45,0.246,0.005,0.005
0.4,0.5,0.419,0.005,0.005
0.4,0.55,0.546,0.005,0.005
0.4,0.6,0.641,0.005,0.005
0.4,0.65,0.714,0.005,0.005
0.4,0.7,0.771,0.005,0.005
0.4,0.75,0.818,0.005,0.005
0.4,0.8,0.856,0.005,0.005
0.4,0.85,0.888,0.005,0.005
0.4,0.9,0.917,0.005,0.005
0.4,0.95,0.945,0.005,0.005
0.5,0.53,0.543728,0.02,0.02
0.5,0.57,0.794915,0.02,0.02
0.5,0.58,0.827081,0.02,0.02
0.5,0.59,0.852889,0.02,0.02
0.5,0.6,0.873845,0.02,0.02
0.5,0.69,0.959528,0.02,0.02
0.5,0.79,0.985034,0.02,0.02
0.5,0.89,0.994356,0.02,0.02
0.5,0.99,0.999256,0.02,0.02
