Time [min],Conversion [%]
0,100
0.017,0
0.033,-0.841423948
0.05,0.03236246
0.067,1.877022654
0.083,-3.851132686
0.1,1.229773463
0.117,6.084142395
0.133,-3.656957929
0.15,-0.873786408
0.167,-0.129449838
0.183,-2.071197411
0.2,-0.67961165
0.217,-0.485436893
0.233,-0.67961165
0.25,-1.650485437
0.267,-1.682847896
0.283,-1.45631068
0.3,-0.67961165
0.317,0.420711974
0.333,-3.171521036
0.35,1.100323625
0.367,-1.262135922
0.383,-0.485436893
0.4,-3.430420712
0.417,-0.67961165
0.433,-2.103559871
0.45,1.618122977
0.467,1.45631068
0.483,-1.650485437
0.5,-1.262135922
0.517,-1.682847896
0.533,0.776699029
0.55,-2.750809061
0.567,-2.297734628
0.583,-1.067961165
0.6,0.064724919
0.617,-1.067961165
0.633,-2.297734628
0.65,-1.682847896
0.667,-1.262135922
0.683,1.45631068
0.7,-0.873786408
0.717,2.556634304
0.733,-0.873786408
0.75,0.064724919
0.767,-3.915857605
0.783,-0.67961165
0.8,-2.103559871
0.817,0.420711974
0.833,-0.291262136
0.85,-0.291262136
0.867,1.100323625
0.883,-0.485436893
0.9,-1.682847896
0.917,-2.103559871
0.933,1.294498382
0.95,0.420711974
0.967,-0.291262136
0.983,-0.873786408
1,-2.524271845
1.017,-2.330097087
1.033,1.45631068
1.05,0.582524272
1.067,-0.291262136
1.083,-1.067961165
1.1,-1.067961165
1.117,-1.262135922
1.133,-2.977346278
1.15,-0.485436893
1.167,-1.262135922
1.183,0.258899676
1.2,0.064724919
1.217,-0.129449838
1.233,0.420711974
1.25,-0.67961165
1.267,-1.682847896
1.283,-0.129449838
1.3,-1.488673139
1.317,-2.330097087
1.333,-0.291262136
1.35,1.941747573
1.367,-1.45631068
1.383,-1.262135922
1.4,-1.488673139
1.417,-1.067961165
1.433,-2.103559871
1.45,-0.67961165
1.467,-1.262135922
1.483,-0.67961165
1.5,-1.682847896
1.517,-0.291262136
1.533,-2.524271845
1.55,7.637540453
1.567,-1.067961165
1.583,0.064724919
1.6,-1.262135922
1.617,-0.129449838
1.633,-1.45631068
1.65,-0.485436893
1.667,-1.262135922
1.683,0.420711974
1.7,-2.524271845
1.717,-1.262135922
1.733,0.064724919
1.75,-0.485436893
1.767,-0.873786408
1.783,-0.873786408
1.8,-2.103559871
1.817,0.614886731
1.833,0.776699029
1.85,0.064724919
1.867,0.064724919
1.883,-0.67961165
1.9,-0.67961165
1.917,-0.485436893
1.933,0.064724919
1.95,0.776699029
1.967,-0.485436893
1.983,-1.262135922
2,-1.45631068
2.017,-1.682847896
2.033,-1.877022654
2.05,0.614886731
2.067,-1.682847896
2.083,-0.485436893
2.1,-0.129449838
2.117,-0.291262136
2.133,1.779935275
2.15,-2.103559871
2.167,-0.67961165
2.183,0.258899676
2.2,0.064724919
2.217,-0.485436893
2.233,0.420711974
2.25,-0.873786408
2.267,0.258899676
2.283,0.420711974
2.3,-4.142394822
2.317,-1.877022654
2.333,0.614886731
2.35,-0.291262136
2.367,-0.291262136
2.383,-1.262135922
2.4,0.258899676
2.417,-1.067961165
2.433,-1.262135922
2.45,-0.485436893
2.467,-0.485436893
2.483,-3.656957929
2.5,-1.067961165
2.517,-0.485436893
2.533,0.938511327
2.55,-2.103559871
2.567,-1.682847896
2.583,-0.097087379
2.6,-1.45631068
2.617,-3.203883495
2.633,0.258899676
2.65,-2.750809061
2.667,-1.067961165
2.683,-0.485436893
2.7,-0.485436893
2.717,-0.291262136
2.733,-2.297734628
2.75,0.776699029
2.767,-1.262135922
2.783,-2.297734628
2.8,-0.873786408
2.817,-4.660194175
2.833,-1.067961165
2.85,-2.524271845
2.867,-0.67961165
2.883,-0.873786408
2.9,-0.291262136
2.917,-1.488673139
2.933,-0.67961165
2.95,0.938511327
2.967,-0.67961165
2.983,-1.877022654
3,-1.488673139
3.017,-1.262135922
3.033,-1.682847896
3.05,-1.877022654
3.067,0.938511327
3.083,-0.291262136
3.1,0.614886731
3.117,0.064724919
3.133,-1.45631068
3.15,0.258899676
3.167,-1.682847896
3.183,0.420711974
3.2,-1.067961165
3.217,-0.873786408
3.233,3.009708738
3.25,0.776699029
3.267,-2.977346278
3.283,-0.873786408
3.3,-0.67961165
3.317,-1.877022654
3.333,-0.129449838
3.35,-1.682847896
3.367,0.258899676
3.383,0.064724919
3.4,-2.103559871
3.417,-1.067961165
3.433,-1.488673139
3.45,-0.291262136
3.467,-0.097087379
3.483,-2.750809061
3.5,-4.660194175
3.517,-0.291262136
3.533,-2.297734628
3.55,-3.203883495
3.567,-2.750809061
3.583,-1.488673139
3.6,1.132686084
3.617,0.064724919
3.633,5.210355987
3.65,-1.682847896
3.667,-4.142394822
3.683,-0.873786408
3.7,1.132686084
3.717,-3.915857605
3.733,-2.103559871
3.75,-3.656957929
3.767,-1.262135922
3.783,-2.297734628
3.8,-0.291262136
3.817,-0.485436893
3.833,-1.262135922
3.85,-1.262135922
3.867,-2.297734628
3.883,-1.877022654
3.9,-0.291262136
3.917,1.779935275
3.933,0.614886731
3.95,0.420711974
3.967,-2.330097087
3.983,0.420711974
4,-1.262135922
4.017,-0.67961165
4.033,1.618122977
4.05,-0.485436893
4.067,-0.485436893
4.083,0.614886731
4.1,1.45631068
4.117,0.420711974
4.133,-1.877022654
4.15,-5.69579288
4.167,0.420711974
4.183,-1.067961165
4.2,-1.067961165
4.217,-1.067961165
4.233,0.614886731
4.25,0.776699029
4.267,-1.877022654
4.283,-3.203883495
4.3,0.938511327
4.317,-1.682847896
4.333,-0.129449838
4.35,1.941747573
4.367,-2.524271845
4.383,-1.45631068
4.4,0.064724919
4.417,-0.097087379
4.433,-1.067961165
4.45,0.970873786
4.467,-1.067961165
4.483,-0.67961165
4.5,-0.873786408
4.517,1.132686084
4.533,2.718446602
4.55,-1.067961165
4.567,-1.682847896
4.583,0.614886731
4.6,0.614886731
4.617,0.258899676
4.633,-1.682847896
4.65,-0.873786408
4.667,-2.977346278
4.683,-0.291262136
4.7,-0.291262136
4.717,0.614886731
4.733,0.614886731
4.75,-0.67961165
4.767,-1.682847896
4.783,-1.682847896
4.8,-4.660194175
4.817,-0.873786408
4.833,-1.682847896
4.85,2.427184466
4.867,-2.750809061
