Time [min],Conversion [%]
0,100
0.017,0
0.033,0.277264325
0.05,0.092421442
0.067,0.184842884
0.083,0
0.1,0.092421442
0.117,0.184842884
0.133,0.184842884
0.15,0.184842884
0.167,0.092421442
0.183,0.092421442
0.2,0.092421442
0.217,0.092421442
0.233,0.092421442
0.25,0.184842884
0.267,0.092421442
0.283,0.092421442
0.3,0.184842884
0.317,0.092421442
0.333,0.184842884
0.35,0.092421442
0.367,0.092421442
0.383,0.092421442
0.4,0.092421442
0.417,0.092421442
0.433,0.092421442
0.45,0.092421442
0.467,0.184842884
0.483,0.092421442
0.5,0.092421442
0.517,0.092421442
0.533,0.092421442
0.55,0.092421442
0.567,0.092421442
0.583,0.092421442
0.6,0.092421442
0.617,0.092421442
0.633,0.092421442
0.65,0.092421442
0.667,0.092421442
0.683,0.092421442
0.7,0.092421442
0.717,0.092421442
0.733,0.184842884
0.75,0.092421442
0.767,0.184842884
0.783,0.092421442
0.8,0
0.817,0.092421442
0.833,0.092421442
0.85,0.092421442
0.867,0.092421442
0.883,0
0.9,0.092421442
0.917,0.092421442
0.933,0.092421442
0.95,0.092421442
0.967,0.092421442
0.983,0.092421442
1,0.092421442
1.017,0.092421442
1.033,0.092421442
1.05,0.092421442
1.067,0
1.083,0.092421442
1.1,0
1.117,0.184842884
1.133,0
1.15,0.092421442
1.167,0.092421442
1.183,0.092421442
1.2,0.092421442
1.217,0.092421442
1.233,0.092421442
1.25,0.092421442
1.267,0.092421442
1.283,0.092421442
1.3,0.092421442
1.317,0.092421442
1.333,0.184842884
1.35,0.092421442
1.367,0.092421442
1.383,0.092421442
1.4,0.092421442
1.417,0.092421442
1.433,0.092421442
1.45,0
1.467,0.092421442
1.483,0.092421442
1.5,0.092421442
1.517,0.184842884
1.533,0.092421442
1.55,0
1.567,0.092421442
1.583,0
1.6,0.092421442
1.617,0.092421442
1.633,0.092421442
1.65,0.184842884
1.667,0.092421442
1.683,0.092421442
1.7,0.092421442
1.717,0.092421442
1.733,0.092421442
1.75,0.092421442
1.767,0.092421442
1.783,0.092421442
1.8,0
1.817,0
1.833,0.092421442
1.85,0.092421442
1.867,0.184842884
1.883,0.092421442
1.9,0.092421442
1.917,0.092421442
1.933,0.092421442
1.95,0
1.967,0
1.983,0
2,0.092421442
2.017,0
2.033,0
2.05,0.092421442
2.067,0
2.083,0
2.1,0.092421442
2.117,0
2.133,0.092421442
2.15,0
2.167,0
2.183,0
2.2,0.092421442
2.217,0.092421442
2.233,0.092421442
2.25,0.092421442
2.267,0.092421442
2.283,0
2.3,0.092421442
2.317,0
2.333,0
2.35,0.092421442
2.367,0.092421442
2.383,0.092421442
2.4,0
2.417,0
2.433,0.092421442
2.45,0.092421442
2.467,0.092421442
2.483,0
2.5,0.092421442
2.517,0
2.533,0
2.55,0
2.567,0
2.583,0.092421442
2.6,0
2.617,0.092421442
2.633,0
2.65,0
2.667,0.092421442
2.683,0
2.7,0
2.717,0
2.733,0
2.75,-0.092421442
2.767,-0.092421442
2.783,0
2.8,0
2.817,-0.092421442
2.833,0.092421442
2.85,0
2.867,0
2.883,0
2.9,0
2.917,0
2.933,0
2.95,-0.092421442
2.967,0
2.983,0
3,0
3.017,-0.092421442
3.033,-0.092421442
3.05,0
3.067,-0.092421442
3.083,-0.092421442
3.1,0
3.117,-0.092421442
3.133,-0.092421442
3.15,0
3.167,0
3.183,-0.092421442
3.2,-0.092421442
3.217,0
3.233,0
3.25,-0.092421442
3.267,0
3.283,0
3.3,0
3.317,-0.092421442
3.333,-0.092421442
3.35,-0.092421442
3.367,-0.092421442
3.383,-0.092421442
3.4,-0.092421442
3.417,-0.092421442
3.433,0
3.45,0
3.467,-0.092421442
3.483,0
3.5,-0.092421442
3.517,0
3.533,-0.092421442
3.55,-0.092421442
3.567,0
3.583,0
3.6,0
3.617,-0.092421442
3.633,-0.092421442
3.65,0
3.667,0
3.683,-0.092421442
3.7,0
3.717,-0.092421442
3.733,-0.092421442
3.75,-0.092421442
3.767,-0.092421442
3.783,0
3.8,-0.092421442
3.817,-0.092421442
3.833,-0.092421442
3.85,-0.092421442
3.867,0
3.883,0.092421442
3.9,0.184842884
3.917,0
3.933,-0.092421442
3.95,-0.184842884
3.967,-0.092421442
3.983,-0.092421442
4,-0.277264325
4.017,0
4.033,0
4.05,-0.092421442
4.067,-0.092421442
4.083,0.277264325
4.1,-0.092421442
4.117,-0.092421442
4.133,-0.092421442
4.15,-0.092421442
4.167,0
4.183,-0.092421442
4.2,-0.092421442
4.217,-0.092421442
4.233,-0.092421442
4.25,-0.092421442
4.267,-0.092421442
4.283,-0.092421442
4.3,-0.184842884
4.317,-0.092421442
4.333,-0.092421442
4.35,-0.092421442
4.367,-0.092421442
4.383,0
4.4,-0.184842884
4.417,-0.092421442
4.433,-0.092421442
4.45,-0.092421442
4.467,-0.092421442
4.483,-0.092421442
4.5,-0.184842884
4.517,-0.184842884
4.533,-0.184842884
4.55,-0.092421442
4.567,-0.092421442
4.583,-0.092421442
4.6,-0.092421442
4.617,-0.092421442
4.633,0
4.65,-0.092421442
4.667,-0.092421442
4.683,-0.092421442
4.7,-0.092421442
4.717,-0.092421442
4.733,-0.092421442
4.75,-0.092421442
4.767,-0.092421442
4.783,0
4.8,0
4.817,-0.092421442
4.833,-0.092421442
4.85,0.092421442
4.867,-0.092421442
4.883,0
4.9,0
4.917,0
4.933,0
4.95,0
4.967,0
4.983,0
5,0
5.017,0
5.033,0.092421442
5.05,0.092421442
5.067,0.092421442
5.083,0
5.1,0.092421442
5.117,0.092421442
5.133,0.092421442
5.15,0.092421442
5.167,0.092421442
5.183,0.277264325
5.2,0.184842884
5.217,-0.092421442
5.233,0.277264325
5.25,-0.277264325
5.267,0.184842884
5.283,0.184842884
5.3,0.277264325
5.317,0.277264325
5.333,0.277264325
5.35,0.184842884
5.367,0.369685767
5.383,0.369685767
5.4,0.369685767
5.417,0.277264325
5.433,0.369685767
5.45,0.369685767
5.467,0.369685767
5.483,0.369685767
5.5,0.369685767
5.517,0.369685767
5.533,0.369685767
5.55,0.462107209
5.567,0.369685767
5.583,0.462107209
5.6,0.462107209
5.617,0.462107209
5.633,0.462107209
5.65,0.462107209
5.667,0.462107209
