Time [min],Conversion [%]
0,0.972
1,0.968
2,0.2696
3,5.3652
4,10.4156
5,11.2692
6,14.452
7,19.724
8,21.1856
9,24.894
10,27.9736
11,31.9992
12,31.62
13,35.1784
14,35.9936
15,39.322
16,41.9824
17,43.8088
18,44.4452
19,44.0824
20,49.8364
21,50.6332
22,52.5248
23,52.52
24,54.2152
25,57.1056
26,56.4132
27,58.9704
28,57.4184
29,58.0664
30,58.4824
31,59.5388
32,62.116
33,60.5988
34,61.638
35,63.5828
36,61.7568
37,63.1352
38,65.6776
39,61.4272
40,67.524
41,66.7868
42,65.7152
43,66.4812
44,68.1904
45,66.0296
46,69.3984
47,67.2568
48,68.0288
49,68.1044
50,68.2424
51,67.7848
52,69.7276
53,71.352
54,70.8116
55,70.4408
56,70.6856
57,70.7924
58,71.0144
59,77.438
60,71.1708
61,73.2784
62,71.3096
63,73.0868
64,72.0352
65,73.8596
66,72.3408
67,72.5948
68,73.252
69,73.6176
70,73.592
71,73.4316
72,73.6196
73,74.72
74,76.4412
75,74.0488
76,75.928
77,76.6132
78,74.7176
79,73.6772
80,75.942
81,74.0484
82,75.434
83,75.5512
84,76.7584
85,76.3164
86,76.1772
87,76.3704
88,75.4232
89,75.446
90,76.4052
91,76.6244
92,76.0844
93,76.1748
94,76.0748
95,77.9004
96,77.374
97,77.0292
98,79.0376
99,77.2156
100,77.4948
101,75.9904
